"ID","Codigo_Materia__c","Nombre_Materia","Abreviatura__c","STATUS"
"a05fj00000DiYsvAAF","GEN-101","Ética y Tecnología","GEN","Item Created"
"a05fj00000DiYswAAF","DAT-201","Estadística Avanzada","DAT","Item Created"
"a05fj00000DiYsxAAF","DEV-101","Algoritmos I","DEV","Item Created"
"a05fj00000DiYsyAAF","IA-300","Redes Neuronales","IA","Item Created"
"a05fj00000DiYszAAF","NEG-400","Liderazgo y Negociación","NEG","Item Created"
"a05fj00000DiYt0AAF","MKT-200","Marketing de Contenidos","MKT","Item Created"
"a05fj00000DiYt1AAF","UX-100","Diseño de Experiencia de Usuario","UX","Item Created"
"a05fj00000DiYt2AAF","DAT-101","Introducción a los Datos","DAT","Item Created"
"a05fj00000DiYt3AAF","IA-400","Deep Learning Aplicado","IA","Item Created"
"a05fj00000DiYt4AAF","DAT-305","Big Data & Cloud","DAT","Item Created"
